Channel Label,Well Label,Plate,Date,Cell Line,Diff Name,Experiment,Drug,Dose Label,Channel ID,Well ID,Compound ID,Compound Name,Dose [pM],T Detection Timestamp [µs],Manually Changed,Mean Slope [V/s],Mean RR Interval [µs],RR Interval CV,Mean Peak-to-Peak Amplitude [pV],Active Channel,Max-Min difference [pV],Mean Conduction Velocity [cm/s],Differentiation Method,Culture Age,Timepoint,Project,Expanded,Medium,MEA Type,Date of plating,T wave missing,cFPD,FPD,RR,norm_cFPD,norm_FPD,norm_RR,norm_cond_vel,norm_PtPA,Variant Risk Level,Symptoms,Variant,Disease,norm_slope,norm_RRCV,FourScore
31,A4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,100 nM,78,3,NIFE,Nifedipine,100000,570400,FALSE,-3.085,1522438.462,0.011,1171827466.177,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,462.284831139769,570.4,1.522438462,1.00999165462269,0.979059388946104,0.939685450365594,NA,1.05113647707292,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1.1255016417365924,0.6470588235294117,3
31,A4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,30 nM,78,3,NIFE,Nifedipine,30000,587500,FALSE,-2.889,1643922.222,0.022,1144399249.479,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,458.212822150829,587.5,1.643922222,1.00109520200442,1.00841057329214,1.01466813411738,NA,1.02653319723482,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1.0539948923750455,1.2941176470588234,3
31,A4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,300 nM,78,3,NIFE,Nifedipine,300000,496500,FALSE,-2.624,1476963.75,0.068,1120002575.259,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,408.539764940264,496.5,1.47696375,0.892570392486938,0.85221421215242,0.911617369919288,NA,1.00464922972929,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.9573148485954032,4,3
31,A4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Control,78,3,NIFE,Nifedipine,0,565700,FALSE,-2.011,1335985.393,0.012,1008032782,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,489.424069530927,565.7,1.335985393,1.06928497865477,0.970992104359767,0.82460215439766,NA,0.904211633391985,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7336738416636265,0.7058823529411764,3
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),Vehicle,204,21,HMR1556 (after E4031),HMR1556 (after E4031),0,533900,FALSE,-2.003,1347337.5,0.039,802827036.944,FALSE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,459.961754708054,533.9,1.3473375,1,1,1,NA,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),1 µM,204,21,HMR1556 (after E4031),HMR1556 (after E4031),1000000,705200,FALSE,-1.41,1312505.556,0.022,845962846.945,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,615.547721928345,705.2,1.312505556,1.33825848698887,1.32084660048698,0.974147573269504,NA,1.0537298920141,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7039440838741886,0.5641025641025641,2
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),E4031,204,21,HMR1556 (after E4031),HMR1556 (after E4031),10,550900,FALSE,-2.283,1326422.472,0.032,871259483.2,FALSE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,478.334644578776,550.9,1.326422472,1.03994438599005,1.03184116875819,0.984476771410281,NA,1.08523933936816,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1.1397903145282076,0.8205128205128205,3
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),10 µM,204,21,HMR1556 (after E4031),HMR1556 (after E4031),10000000,348772,TRUE,-0.84,862505.755,0.021,594004097.657,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,375.54381259011,348.772,0.862505755,0.816467475276229,0.653253418243117,0.640155681111822,NA,0.739890499849264,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.419370943584623,0.5384615384615385,3
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),3 µM,204,21,HMR1556 (after E4031),HMR1556 (after E4031),3000000,671400,FALSE,-1.242,1248367.368,0.021,708180579.875,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,600.9109708508,671.4,1.248367368,1.30643681719192,1.25753886495598,0.926543919396588,NA,0.882108533079209,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.6200698951572641,0.5384615384615385,2
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),300 nM,204,21,HMR1556 (after E4031),HMR1556 (after E4031),300000,747800,FALSE,-1.514,1406532.143,0.026,685488073.412,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,630.537078401761,747.8,1.406532143,1.37084675399148,1.40063682337516,1.04393453236476,NA,0.853842785391662,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7558662006989515,0.6666666666666666,2
32,D4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_HMR1556_CARIPLO_001,HMR1556 (after E4031),Control,204,21,HMR1556 (after E4031),HMR1556 (after E4031),0,481300,FALSE,-1.735,1133870.476,0.014,679280359.811,FALSE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,451.995528129937,481.3,1.133870476,0.982680676172362,0.901479677842293,0.841563807138152,NA,0.846110467824693,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8662006989515726,0.358974358974359,3
33,A2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,Vehicle,34,1,TTX,Tetrodotoxin,0,556400,FALSE,-0.588,1474693.75,0.009,901300782.222,TRUE,NA,32.309,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,458.180077655223,556.4,1.47469375,1,1,1,1,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
33,A2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,1 µM,34,1,TTX,Tetrodotoxin,1000000,606200,FALSE,-0.428,1508235.443,0.014,740983517.1,TRUE,NA,26.198,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,493.607057877883,606.2,1.508235443,1.07732108389339,1.08950395398994,1.02274485329581,0.810857655761553,0.822126787988838,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7278911564625851,1.5555555555555558,3
33,A2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,10 µM,34,1,TTX,Tetrodotoxin,10000000,598000,FALSE,-0.364,1503891.139,0.021,662242907.85,TRUE,NA,29.788,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,487.632882600746,598,1.503891139,1.06428215974874,1.07476635514019,1.01979895079911,0.921972205886905,0.734763489517179,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.6190476190476191,2.3333333333333335,3
33,A2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,100 nM,34,1,TTX,Tetrodotoxin,100000,602200,FALSE,-0.531,1569477.632,0.018,841733880.623,TRUE,NA,27.147,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,480.687895349988,602.2,1.569477632,1.04912439189838,1.0823148813803,1.06427360392624,0.840230276393575,0.933910074445794,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.903061224489796,2,3
33,A2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,300 nM,34,1,TTX,Tetrodotoxin,300000,608300,FALSE,-0.512,1558902.632,0.018,785792817.351,TRUE,NA,30.374,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,487.201168588814,608.3,1.558902632,1.06333992320685,1.09327821710999,1.05710262351081,0.940109566993717,0.871843043799168,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.870748299319728,2,3
33,A2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,Control,34,1,TTX,Tetrodotoxin,0,500300,FALSE,-0.591,1303191.209,0.009,749938823.739,TRUE,NA,32.48,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,438.254548358623,500.3,1.303191209,0.956511576412116,0.899173256649892,0.883702944424902,1.00529264291683,0.832062768091864,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1.0051020408163265,1,3
34,A3,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Vehicle,59,2,NIFE,Nifedipine,0,611800,FALSE,-1.181,1685534.286,0.031,772735638.254,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,471.238404726728,611.8,1.685534286,1,1,1,NA,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
34,A3,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,1 µM,59,2,NIFE,Nifedipine,1000000,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,Yes,NA,NA,NA,NA,NA,NA,NA,NA,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,NA,NA,0
34,A3,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,100 nM,59,2,NIFE,Nifedipine,100000,584800,FALSE,-1.096,1627290.411,0.024,675305265.405,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,458.43190093352,584.8,1.627290411,0.972823726451934,0.955867930696306,0.965444858948423,NA,0.873915000129741,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.9280270956816258,0.7741935483870968,3
34,A3,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,30 nM,59,2,NIFE,Nifedipine,30000,613300,FALSE,-1.032,1710250.725,0.017,631282993.714,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,468.967852511406,613.3,1.710250725,0.995181733507823,1.00245178162798,1.01466386012156,NA,0.816945618219948,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8738357324301439,0.5483870967741936,3
34,A3,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,300 nM,59,2,NIFE,Nifedipine,300000,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,Yes,NA,NA,NA,NA,NA,NA,NA,NA,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,NA,NA,0
34,A3,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Control,59,2,NIFE,Nifedipine,0,555600,FALSE,-1.519,1355278.409,0.019,813121116.539,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,477.252241988785,555.6,1.355278409,1.01276177238896,0.908139915004904,0.804064574809842,NA,1.05226299433562,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1.286198137171888,0.6129032258064516,3
34,B4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Vehicle,95,9,NIFE,Nifedipine,0,638300,FALSE,-0.571,1573382.667,0.08,431469434.684,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,508.870955552863,638.3,1.573382667,1,1,1,NA,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
34,B4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,1 µM,95,9,NIFE,Nifedipine,1000000,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,Yes,NA,NA,NA,NA,NA,NA,NA,NA,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,NA,NA,0
34,B4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,100 nM,95,9,NIFE,Nifedipine,100000,631600,FALSE,-0.56,1495639.241,0.058,420024172.65,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,516.450492293463,631.6,1.495639241,1.01489481106731,0.989503368322106,0.950588354867138,NA,0.973473759404574,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.980735551663748,0.725,3
