"","Date","Experiment","Cell Number","File Name","Folder","Cell Line","Condition","Frequency","Good?","Condition 3","variable","value","unique_id_cell"
"33",2021-02-18,"20210218",5,"21218030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","Ediast (mV)",-94.2232621261977,"20210218 Cell_ 5 _ HDF29c7"
"34",2021-02-18,"20210218",5,"21218030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","APA (mV)",148.265007606228,"20210218 Cell_ 5 _ HDF29c7"
"35",2021-02-18,"20210218",5,"21218030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","dV/dt max y (V/s)",173.907462442964,"20210218 Cell_ 5 _ HDF29c7"
"36",2021-02-18,"20210218",5,"21218030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","APD 90 (ms)",182.2,"20210218 Cell_ 5 _ HDF29c7"
"37",2021-02-23,"20210223",6,"21223025","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","Ediast (mV)",-62.5709809147566,"20210223 Cell_ 6 _ HDF29c7"
"38",2021-02-23,"20210223",6,"21223025","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APA (mV)",130.178399578577,"20210223 Cell_ 6 _ HDF29c7"
"39",2021-02-23,"20210223",6,"21223025","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","dV/dt max y (V/s)",204.699697308531,"20210223 Cell_ 6 _ HDF29c7"
"40",2021-02-23,"20210223",6,"21223025","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APD 90 (ms)",431.16,"20210223 Cell_ 6 _ HDF29c7"
"41",2021-02-23,"20210223",6,"21223026","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","Ediast (mV)",-72.239681627393,"20210223 Cell_ 6 _ HDF29c7"
"42",2021-02-23,"20210223",6,"21223026","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APA (mV)",137.599175593296,"20210223 Cell_ 6 _ HDF29c7"
"43",2021-02-23,"20210223",6,"21223026","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",203.955068437652,"20210223 Cell_ 6 _ HDF29c7"
"44",2021-02-23,"20210223",6,"21223026","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APD 90 (ms)",414.04,"20210223 Cell_ 6 _ HDF29c7"
"45",2021-02-23,"20210223",6,"21223027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","Ediast (mV)",-69.0042691834106,"20210223 Cell_ 6 _ HDF29c7"
"46",2021-02-23,"20210223",6,"21223027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APA (mV)",132.740228070177,"20210223 Cell_ 6 _ HDF29c7"
"47",2021-02-23,"20210223",6,"21223027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","dV/dt max y (V/s)",201.513662303616,"20210223 Cell_ 6 _ HDF29c7"
"48",2021-02-23,"20210223",6,"21223027","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APD 90 (ms)",318.88,"20210223 Cell_ 6 _ HDF29c7"
"49",2021-02-23,"20210223",6,"21223029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","Ediast (mV)",-55.0811741415971,"20210223 Cell_ 6 _ HDF29c7"
"50",2021-02-23,"20210223",6,"21223029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APA (mV)",116.272577485161,"20210223 Cell_ 6 _ HDF29c7"
"51",2021-02-23,"20210223",6,"21223029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","dV/dt max y (V/s)",166.165153240392,"20210223 Cell_ 6 _ HDF29c7"
"52",2021-02-23,"20210223",6,"21223029","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APD 90 (ms)",174.92,"20210223 Cell_ 6 _ HDF29c7"
"53",2021-02-23,"20210223",6,"21223030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","Ediast (mV)",-54.9818089119417,"20210223 Cell_ 6 _ HDF29c7"
"54",2021-02-23,"20210223",6,"21223030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","APA (mV)",113.081781738279,"20210223 Cell_ 6 _ HDF29c7"
"55",2021-02-23,"20210223",6,"21223030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","dV/dt max y (V/s)",154.803459444106,"20210223 Cell_ 6 _ HDF29c7"
"56",2021-02-23,"20210223",6,"21223030","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","APD 90 (ms)",127.16,"20210223 Cell_ 6 _ HDF29c7"
"57",2021-02-23,"20210223",6,"21223031","HDF29c7_Expanded.Maturated_Tyr_5Hz","LQT1_R190W","Expanded.Maturated","5Hz","Yes","Tyr","Ediast (mV)",-52.8663915319499,"20210223 Cell_ 6 _ HDF29c7"
"58",2021-02-23,"20210223",6,"21223031","HDF29c7_Expanded.Maturated_Tyr_5Hz","LQT1_R190W","Expanded.Maturated","5Hz","Yes","Tyr","APA (mV)",108.90276582349,"20210223 Cell_ 6 _ HDF29c7"
"59",2021-02-23,"20210223",6,"21223031","HDF29c7_Expanded.Maturated_Tyr_5Hz","LQT1_R190W","Expanded.Maturated","5Hz","Yes","Tyr","dV/dt max y (V/s)",165.676872013583,"20210223 Cell_ 6 _ HDF29c7"
"60",2021-02-23,"20210223",6,"21223031","HDF29c7_Expanded.Maturated_Tyr_5Hz","LQT1_R190W","Expanded.Maturated","5Hz","Yes","Tyr","APD 90 (ms)",100.8,"20210223 Cell_ 6 _ HDF29c7"
"61",2021-02-24,"20210224",4,"21224022","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","Ediast (mV)",-60.5322236873737,"20210224 Cell_ 4 _ HDF29c7"
"62",2021-02-24,"20210224",4,"21224022","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APA (mV)",120.986322378458,"20210224 Cell_ 4 _ HDF29c7"
"63",2021-02-24,"20210224",4,"21224022","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","dV/dt max y (V/s)",190.017691169959,"20210224 Cell_ 4 _ HDF29c7"
"64",2021-02-24,"20210224",4,"21224022","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APD 90 (ms)",220.08,"20210224 Cell_ 4 _ HDF29c7"
"65",2021-02-24,"20210224",4,"21224023","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","Ediast (mV)",-61.8757294829356,"20210224 Cell_ 4 _ HDF29c7"
"66",2021-02-24,"20210224",4,"21224023","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APA (mV)",121.14391514441,"20210224 Cell_ 4 _ HDF29c7"
"67",2021-02-24,"20210224",4,"21224023","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",190.914907924216,"20210224 Cell_ 4 _ HDF29c7"
"68",2021-02-24,"20210224",4,"21224023","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APD 90 (ms)",247.32,"20210224 Cell_ 4 _ HDF29c7"
"69",2021-02-24,"20210224",5,"21224029","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","Ediast (mV)",-58.0834933349321,"20210224 Cell_ 5 _ HDF29c7"
"70",2021-02-24,"20210224",5,"21224029","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APA (mV)",125.520013569369,"20210224 Cell_ 5 _ HDF29c7"
"71",2021-02-24,"20210224",5,"21224029","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","dV/dt max y (V/s)",185.836783165415,"20210224 Cell_ 5 _ HDF29c7"
"72",2021-02-24,"20210224",5,"21224029","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APD 90 (ms)",223.56,"20210224 Cell_ 5 _ HDF29c7"
"73",2021-02-24,"20210224",5,"21224030","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","Ediast (mV)",-61.2322358611561,"20210224 Cell_ 5 _ HDF29c7"
"74",2021-02-24,"20210224",5,"21224030","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APA (mV)",126.91704719442,"20210224 Cell_ 5 _ HDF29c7"
"75",2021-02-24,"20210224",5,"21224030","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",222.98888101016,"20210224 Cell_ 5 _ HDF29c7"
"76",2021-02-24,"20210224",5,"21224030","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APD 90 (ms)",220.48,"20210224 Cell_ 5 _ HDF29c7"
"77",2021-02-24,"20210224",5,"21224031","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","Ediast (mV)",-62.741635203526,"20210224 Cell_ 5 _ HDF29c7"
"78",2021-02-24,"20210224",5,"21224031","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APA (mV)",127.859429962159,"20210224 Cell_ 5 _ HDF29c7"
"79",2021-02-24,"20210224",5,"21224031","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","dV/dt max y (V/s)",219.51292902682,"20210224 Cell_ 5 _ HDF29c7"
"80",2021-02-24,"20210224",5,"21224031","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APD 90 (ms)",195.2,"20210224 Cell_ 5 _ HDF29c7"
"81",2021-02-24,"20210224",5,"21224032","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","Ediast (mV)",-61.6264008814968,"20210224 Cell_ 5 _ HDF29c7"
"82",2021-02-24,"20210224",5,"21224032","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APA (mV)",125.265313874436,"20210224 Cell_ 5 _ HDF29c7"
"83",2021-02-24,"20210224",5,"21224032","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","dV/dt max y (V/s)",193.707266190023,"20210224 Cell_ 5 _ HDF29c7"
"84",2021-02-24,"20210224",5,"21224032","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APD 90 (ms)",163.96,"20210224 Cell_ 5 _ HDF29c7"
"85",2021-02-24,"20210224",5,"21224033","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","Ediast (mV)",-60.2922944995509,"20210224 Cell_ 5 _ HDF29c7"
"86",2021-02-24,"20210224",5,"21224033","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","APA (mV)",121.197442973899,"20210224 Cell_ 5 _ HDF29c7"
"87",2021-02-24,"20210224",5,"21224033","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","dV/dt max y (V/s)",187.582388551251,"20210224 Cell_ 5 _ HDF29c7"
"88",2021-02-24,"20210224",5,"21224033","HDF29c7_Expanded.Maturated_Tyr_4Hz","LQT1_R190W","Expanded.Maturated","4Hz","Yes","Tyr","APD 90 (ms)",144.16,"20210224 Cell_ 5 _ HDF29c7"
"89",2021-02-24,"20210224",6,"21224038","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","Ediast (mV)",-57.2334567542129,"20210224 Cell_ 6 _ HDF29c7"
"90",2021-02-24,"20210224",6,"21224038","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APA (mV)",126.17937633102,"20210224 Cell_ 6 _ HDF29c7"
"91",2021-02-24,"20210224",6,"21224038","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","dV/dt max y (V/s)",216.033925285814,"20210224 Cell_ 6 _ HDF29c7"
"92",2021-02-24,"20210224",6,"21224038","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APD 90 (ms)",317.84,"20210224 Cell_ 6 _ HDF29c7"
"93",2021-02-24,"20210224",6,"21224040","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","Ediast (mV)",-62.1456269310536,"20210224 Cell_ 6 _ HDF29c7"
"94",2021-02-24,"20210224",6,"21224040","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APA (mV)",129.923333672723,"20210224 Cell_ 6 _ HDF29c7"
"95",2021-02-24,"20210224",6,"21224040","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",238.513172264982,"20210224 Cell_ 6 _ HDF29c7"
"96",2021-02-24,"20210224",6,"21224040","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APD 90 (ms)",279.68,"20210224 Cell_ 6 _ HDF29c7"
"97",2021-02-24,"20210224",6,"21224042","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","Ediast (mV)",-62.7314423329164,"20210224 Cell_ 6 _ HDF29c7"
"98",2021-02-24,"20210224",6,"21224042","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APA (mV)",129.099237032178,"20210224 Cell_ 6 _ HDF29c7"
"99",2021-02-24,"20210224",6,"21224042","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","dV/dt max y (V/s)",235.736072787513,"20210224 Cell_ 6 _ HDF29c7"
