"","Voltage","Cell","Current Density","Group"
"78",-10,"20210505_Cell6_WTC-11",NA,"WT"
"79",-10,"20210622_Cell2_WTC-11",5.21524278172906,"WT"
"80",-10,"20210622_Cell4_WTC-11",0.025085480676757,"WT"
"81",-10,"20210622_Cell7_WTC-11",NA,"WT"
"82",-10,"20210622_Cell8_WTC-11",0.265705140249014,"WT"
"83",-10,"20210622_Cell9_WTC-11",1.64286670350192,"WT"
"84",-10,"20210622_Cell12_WTC-11",0.203114620585416,"WT"
"85",-10,"20210622_Cell13_WTC-11",-2.32541295081229,"WT"
"86",-10,"20210622_Cell14_WTC-11",0.507250013855237,"WT"
"87",-10,"20210622_Cell15_WTC-11",-0.617783658117337,"WT"
"88",-10,"20210622_Cell16_WTC-11",7.51266766383266,"WT"
"89",-10,"20210623_Cell5_WTC-11",0.765417536256149,"WT"
"90",-10,"20210623_Cell6_WTC-11",1.19030363921325,"WT"
"91",-10,"20210623_Cell7_WTC-11",0.109118362804791,"WT"
"92",-10,"20210723_Cell13_WTC-11",-0.395865996642709,"WT"
"93",-10,"20210723_Cell18_WTC-11",1.79576516526957,"WT"
"94",-10,"20210726_Cell2_WTC-11",NA,"WT"
"95",-10,"20210726_Cell7_WTC-11",0.22931736173335,"WT"
"96",-10,"20210802_Cell7_WTC-11",0.094582873421972,"WT"
"97",0,"20210413_Cell2_WTC-11",1.38675954997703,"WT"
"98",0,"20210413_Cell3_WTC-11",0.259318197147414,"WT"
"99",0,"20210413_Cell4_WTC-11",1.33878306748745,"WT"
"100",0,"20210505_Cell1_WTC-11",1.48857490925849,"WT"
"101",0,"20210505_Cell5_WTC-11",NA,"WT"
"102",0,"20210505_Cell6_WTC-11",NA,"WT"
"103",0,"20210622_Cell2_WTC-11",6.61996172059257,"WT"
"104",0,"20210622_Cell4_WTC-11",0.00682385762532553,"WT"
"105",0,"20210622_Cell7_WTC-11",NA,"WT"
"106",0,"20210622_Cell8_WTC-11",1.0193521458311,"WT"
"107",0,"20210622_Cell9_WTC-11",2.1168068333676,"WT"
"108",0,"20210622_Cell12_WTC-11",0.371435423008931,"WT"
"109",0,"20210622_Cell13_WTC-11",-2.37787714103991,"WT"
"110",0,"20210622_Cell14_WTC-11",0.62697256951085,"WT"
"111",0,"20210622_Cell15_WTC-11",0.043489776858003,"WT"
"112",0,"20210622_Cell16_WTC-11",9.043774524583,"WT"
"113",0,"20210623_Cell5_WTC-11",1.2600970170009,"WT"
"114",0,"20210623_Cell6_WTC-11",2.08135207064216,"WT"
"115",0,"20210623_Cell7_WTC-11",0.503045417167041,"WT"
"116",0,"20210723_Cell13_WTC-11",0.392479768258134,"WT"
"117",0,"20210723_Cell18_WTC-11",2.62506902962647,"WT"
"118",0,"20210726_Cell2_WTC-11",NA,"WT"
"119",0,"20210726_Cell7_WTC-11",0.439757785728445,"WT"
"120",0,"20210802_Cell7_WTC-11",0.229412645500002,"WT"
"121",10,"20210413_Cell2_WTC-11",3.02576531734353,"WT"
"122",10,"20210413_Cell3_WTC-11",1.01513156385603,"WT"
"123",10,"20210413_Cell4_WTC-11",2.1278411226939,"WT"
"124",10,"20210505_Cell1_WTC-11",1.4413013941125,"WT"
"125",10,"20210505_Cell5_WTC-11",NA,"WT"
"126",10,"20210505_Cell6_WTC-11",NA,"WT"
"127",10,"20210622_Cell2_WTC-11",8.01472904997049,"WT"
"128",10,"20210622_Cell4_WTC-11",0.0231032735771603,"WT"
"129",10,"20210622_Cell7_WTC-11",NA,"WT"
"130",10,"20210622_Cell8_WTC-11",1.50130739677065,"WT"
"131",10,"20210622_Cell9_WTC-11",2.1196358663994,"WT"
"132",10,"20210622_Cell12_WTC-11",0.737832098415111,"WT"
"133",10,"20210622_Cell13_WTC-11",-2.33578324672972,"WT"
"134",10,"20210622_Cell14_WTC-11",0.781060081119618,"WT"
"135",10,"20210622_Cell15_WTC-11",-0.0511034454231692,"WT"
"136",10,"20210622_Cell16_WTC-11",9.99218541144815,"WT"
"137",10,"20210623_Cell5_WTC-11",1.15111068449358,"WT"
"138",10,"20210623_Cell6_WTC-11",2.8480562206147,"WT"
"139",10,"20210623_Cell7_WTC-11",0.706448211326252,"WT"
"140",10,"20210723_Cell13_WTC-11",0.326324511384021,"WT"
"141",10,"20210723_Cell18_WTC-11",3.64897710621578,"WT"
"142",10,"20210726_Cell2_WTC-11",NA,"WT"
"143",10,"20210726_Cell7_WTC-11",0.921771184116928,"WT"
"144",10,"20210802_Cell7_WTC-11",0.32940475054499,"WT"
"145",20,"20210413_Cell2_WTC-11",3.74917564985026,"WT"
"146",20,"20210413_Cell3_WTC-11",1.36458579472083,"WT"
"147",20,"20210413_Cell4_WTC-11",2.65774157605738,"WT"
"148",20,"20210505_Cell1_WTC-11",1.94462353670144,"WT"
"149",20,"20210505_Cell5_WTC-11",NA,"WT"
"150",20,"20210505_Cell6_WTC-11",NA,"WT"
"151",20,"20210622_Cell2_WTC-11",9.07511815484962,"WT"
"152",20,"20210622_Cell4_WTC-11",0.159652127159966,"WT"
"153",20,"20210622_Cell7_WTC-11",NA,"WT"
"154",20,"20210622_Cell8_WTC-11",2.42113109339955,"WT"
"155",20,"20210622_Cell9_WTC-11",2.47106826514528,"WT"
"156",20,"20210622_Cell12_WTC-11",1.04026684816571,"WT"
