,21728047
Time,Voltage
76.203125,-84.23461914
76.40625,-84.2010498
76.6015625,-84.23156738
76.8046875,-84.24987793
77,-84.25292969
77.203125,-84.21936035
77.40625,-84.19799805
77.6015625,-84.18579102
77.8046875,-84.22546387
78,-84.23461914
78.203125,-84.27124023
78.40625,-84.26818848
78.6015625,-84.23461914
78.8046875,-84.24377441
79,-84.26818848
79.203125,-84.23461914
79.40625,-84.25292969
79.6015625,-84.29260254
79.8046875,-84.31091309
80,-84.19494629
80.203125,-84.2010498
80.40625,-84.27734375
80.6015625,-84.31091309
80.8046875,-84.29870605
81,-84.3170166
81.203125,-84.29260254
81.40625,-84.26208496
81.6015625,-84.32312012
81.8046875,-84.3170166
82,-84.28649902
82.203125,-84.24377441
82.40625,-84.26818848
82.6015625,-84.30175781
82.8046875,-84.33227539
83,-84.35974121
83.203125,-84.28649902
83.40625,-84.26208496
83.6015625,-84.17663574
83.8046875,-84.21020508
84,-84.28039551
84.203125,-84.2376709
84.40625,-84.22851563
84.6015625,-84.22851563
84.8046875,-84.29870605
85,-84.29870605
85.203125,-84.23461914
85.40625,-84.28344727
85.6015625,-84.25598145
85.8046875,-84.2010498
86,-84.28344727
86.203125,-84.28649902
86.40625,-84.24377441
86.6015625,-84.23461914
86.8046875,-84.19799805
87,-84.16442871
87.203125,-84.21936035
87.40625,-84.23156738
87.6015625,-84.21325684
87.8046875,-84.19189453
88,-84.18884277
88.203125,-84.25292969
88.40625,-84.22851563
88.6015625,-84.18273926
88.8046875,-84.17358398
89,-84.22241211
89.203125,-84.19189453
89.40625,-84.16442871
89.6015625,-84.05456543
89.8046875,-84.14916992
90,-84.17663574
90.203125,-84.16442871
90.40625,-84.1583252
90.6015625,-84.18884277
90.8046875,-84.11865234
91,-84.14306641
91.203125,-84.10644531
91.40625,-84.05761719
91.6015625,-84.09118652
91.8046875,-84.13391113
92,-84.11865234
92.203125,-84.05151367
92.40625,-84.1217041
92.6015625,-84.06982422
92.8046875,-84.08203125
93,-84.12475586
93.203125,-84.14306641
93.40625,-84.17663574
93.6015625,-84.17663574
93.8046875,-84.1003418
94,-84.11254883
94.203125,-84.1003418
94.40625,-84.0637207
94.6015625,-84.10949707
94.8046875,-84.11560059
95,-76.35498047
95.203125,-54.49829102
95.40625,-44.19250488
95.6015625,-38.85498047
95.8046875,-35.0982666
96,-31.78405762
96.203125,-28.56750488
