,WT 21504029,R190W 21408046,R594Q 21615057,JLNS 21712024
Time,WT,LQT1_R190W,LQT1_R594Q,Compound JLNS
51.20000076,44.2199707,41.18041992,44.84863281,45.36437988
51.40000153,44.13452148,41.07666016,44.77233887,45.33691406
51.59999847,44.01550293,40.96069336,44.77233887,45.30029297
51.79999924,43.93005371,40.83251953,44.73876953,45.20874023
52,43.86291504,40.70129395,44.67773438,45.04394531
52.20000076,43.82019043,40.59143066,44.54956055,45.02563477
52.40000153,43.74694824,40.45410156,44.53430176,45.01647949
52.59999847,43.6920166,40.34118652,44.52209473,44.91882324
52.79999924,43.61877441,40.23132324,44.51904297,44.82421875
53,43.58520508,40.0604248,44.46105957,44.7845459
53.20000076,43.54858398,39.94750977,44.50073242,44.78759766
53.40000153,43.42041016,39.82849121,44.49768066,44.75097656
53.59999847,43.35327148,39.70336914,44.38171387,44.6685791
53.79999924,43.29528809,39.57824707,44.34204102,44.68078613
54,43.21289063,39.46228027,44.29321289,44.60449219
54.20000076,43.15795898,39.33105469,44.22302246,44.60754395
54.40000153,43.09082031,39.1998291,44.17724609,44.59533691
54.59999847,43.00842285,39.05944824,44.15283203,44.5098877
54.79999924,42.95959473,38.96789551,44.12231445,44.41223145
55,42.89855957,38.8671875,44.05517578,44.38171387
55.20000076,42.79174805,38.72680664,44.02770996,44.32678223
55.40000153,42.73376465,38.60473633,44.01245117,44.25354004
55.59999847,42.67272949,38.48266602,43.93310547,44.19250488
55.79999924,42.58117676,38.33312988,43.8873291,44.15283203
56,42.50183105,38.21105957,43.85375977,44.00634766
56.20000076,42.41638184,38.07373047,43.87512207,43.95446777
56.40000153,42.34924316,37.96691895,43.77746582,43.90869141
56.59999847,42.25769043,37.82653809,43.72558594,43.86901855
56.79999924,42.19055176,37.74719238,43.6706543,43.78356934
57,42.08984375,37.64953613,43.59130859,43.70117188
57.20000076,42.01660156,37.48474121,43.59436035,43.60351563
57.40000153,41.91894531,37.33520508,43.56384277,43.64318848
57.59999847,41.88842773,37.19482422,43.48144531,43.53637695
57.79999924,41.77856445,37.07275391,43.46923828,43.45092773
58,41.69921875,36.93847656,43.41430664,43.38989258
58.20000076,41.63818359,36.8347168,43.32885742,43.33190918
58.40000153,41.50390625,36.67907715,43.32275391,43.3380127
58.59999847,41.42456055,36.59057617,43.1640625,43.23425293
58.79999924,41.33605957,36.45324707,43.06945801,43.20068359
59,41.30554199,36.35253906,42.97790527,43.16101074
59.20000076,41.2109375,36.22131348,42.9473877,43.10302734
59.40000153,41.16210938,36.10229492,42.92602539,43.02978516
59.59999847,41.07666016,36.00463867,42.89550781,42.98706055
59.79999924,40.96679688,35.89477539,42.81921387,42.93212891
60,40.92712402,35.77880859,42.71240234,42.87414551
60.20000076,40.83862305,35.70556641,42.64831543,42.84057617
60.40000153,40.71655273,35.6262207,42.57202148,42.81616211
60.59999847,40.63110352,35.52246094,42.54150391,42.76733398
60.79999924,40.53955078,35.40344238,42.51708984,42.68798828
61,40.48156738,35.25085449,42.41638184,42.62084961
61.20000076,40.38085938,35.12268066,42.37365723,42.54760742
61.40000153,40.27404785,35.01281738,42.31872559,42.50793457
61.59999847,40.22521973,34.90905762,42.23937988,42.43164063
61.79999924,40.08789063,34.78393555,42.1661377,42.38586426
62,40.03601074,34.64050293,42.13256836,42.30651855
62.20000076,39.97802734,34.51538086,42.06237793,42.23937988
62.40000153,39.98413086,34.40856934,41.9342041,42.23632813
62.59999847,39.87121582,34.26513672,41.90673828,42.20275879
62.79999924,39.81323242,34.12475586,41.84570313,42.16003418
63,39.83459473,34.03015137,41.7388916,42.1081543
63.20000076,39.73693848,33.8684082,41.76330566,42.03491211
63.40000153,39.6484375,33.72802734,41.6595459,41.97998047
63.59999847,39.55383301,33.62426758,41.59240723,41.94641113
63.79999924,39.49890137,33.43200684,41.53442383,41.90673828
64,39.44091797,33.33740234,41.49780273,41.81518555
64.19999695,39.35546875,33.17871094,41.41540527,41.76635742
64.40000153,39.27612305,33.06274414,41.34521484,41.77246094
64.59999847,39.1784668,32.97119141,41.31469727,41.74804688
64.80000305,39.12353516,32.84301758,41.21704102,41.63818359
65,38.99536133,32.71179199,41.21398926,41.6015625
65.19999695,38.93737793,32.62023926,41.11022949,41.54968262
65.40000153,38.85498047,32.49816895,40.9942627,41.47644043
65.59999847,38.78479004,32.40661621,40.93017578,41.3482666
65.80000305,38.69018555,32.2479248,40.83251953,41.33911133
66,38.64135742,32.14111328,40.79589844,41.28112793
66.19999695,38.51318359,32.00378418,40.74401855,41.21398926
66.40000153,38.36975098,31.86645508,40.77453613,41.16210938
66.59999847,38.33007813,31.71081543,40.67687988,41.10107422
66.80000305,38.21411133,31.60400391,40.52734375,41.015625
67,38.13171387,31.48193359,40.44494629,40.89355469
67.19999695,37.98522949,31.37512207,40.37475586,40.86914063
67.40000153,37.90893555,31.22253418,40.28930664,40.84777832
67.59999847,37.7746582,31.11572266,40.21911621,40.78979492
67.80000305,37.7166748,30.95397949,40.22827148,40.68908691
68,37.59765625,30.81359863,40.12145996,40.63720703
68.19999695,37.51525879,30.72509766,39.94750977,40.58837891
68.40000153,37.4420166,30.59692383,39.84985352,40.55175781
68.59999847,37.31079102,30.44128418,39.82849121,40.46325684
68.80000305,37.14599609,30.28869629,39.79492188,40.43884277
69,37.07275391,30.16357422,39.69421387,40.40222168
69.19999695,36.99035645,30.00488281,39.60266113,40.27404785
69.40000153,36.88659668,29.85839844,39.59350586,40.28015137
69.59999847,36.83166504,29.7088623,39.49584961,40.2557373
69.80000305,36.71569824,29.61730957,39.47753906,40.14892578
70,36.61499023,29.47692871,39.44396973,40.13671875
70.19999695,36.56311035,29.35791016,39.38903809,40.1184082
70.40000153,36.48986816,29.22058105,39.33410645,39.97497559
70.59999847,36.44104004,29.11376953,39.24865723,39.94445801
70.80000305,36.36169434,29.01000977,39.21813965,39.94140625
71,36.24572754,28.93981934,39.13574219,39.92004395
71.19999695,36.17553711,28.80859375,39.13574219,39.84375
71.40000153,36.1114502,28.69567871,39.15100098,39.7277832
71.59999847,36.05957031,28.55224609,39.12353516,39.74609375
71.80000305,35.99853516,28.46069336,39.08691406,39.70031738
72,35.83679199,28.33251953,38.96789551,39.67590332
72.19999695,35.7421875,28.18908691,38.9251709,39.55688477
72.40000153,35.65063477,28.07617188,38.83361816,39.52331543
