Control Time [ms],WT,KCNQ1-p.R190W,KCNQ1-p.R594Q,KCNQ1-p.R190W & KCNQ1-p.R594Q,KCNQ1-p.A341V,KCNH2-p.R366X,KCNH2-p.A561V
1.2,-119.208,91.134516,-234.54174,-233.826492,-40.113492,-92.207388,-139.056132
1.3,-85.770156,100.969176,-218.329452,-160.275156,-41.245968,-86.664216,-129.877116
1.4,-60.20004,107.2872,-203.011224,-106.452744,-42.140028,-81.478668,-118.373544
1.5,-40.649928,111.936312,-189.898344,-68.84262,-43.2129,-76.471932,-106.69116
1.6,-25.272096,116.764236,-179.229228,-41.901612,-44.464584,-71.644008,-96.975708
1.7,-12.81486,120.876912,-169.513776,-20.205756,-44.762604,-66.935292,-88.333128
1.8,-2.741784,124.989588,-161.348028,-1.966932,-44.822208,-62.464992,-81.180648
1.9,5.721984,129.817512,-154.731984,13.4109,-44.047356,-58.590732,-75.637476
2,12.755256,133.930188,-149.665644,27.11982,-42.080424,-54.776076,-70.690344
2.1,17.940804,137.268012,-144.897324,39.815472,-40.113492,-51.021024,-67.471728
2.2,22.887936,140.009796,-141.440292,50.544192,-40.292304,-48.219636,-65.206776
2.3,27.358236,141.797916,-138.698508,60.20004,-40.113492,-45.835476,-63.18024
2.4,31.411308,142.989996,-135.89712,70.0347,-38.504184,-43.749336,-61.868952
2.5,35.643192,144.5397,-133.632168,79.630944,-37.669728,-41.961216,-60.915288
2.6,39.93468,146.0298,-131.665236,88.869564,-36.596856,-40.173096,-60.438456
2.7,43.868544,146.745048,-129.817512,97.690956,-34.987548,-39.279036,-59.723208
2.8,46.967952,147.5199,-127.373748,104.128188,-33.914676,-38.086956,-59.246376
2.9,49.948152,147.698712,-126.002856,109.37334,-33.616656,-37.55052,-60.021228
3,52.45152,147.698712,-124.751172,116.52582,-33.735864,-37.431312,-59.127168
3.1,54.716472,147.877524,-122.903448,123.201468,-33.497448,-36.537252,-58.590732
3.2,56.385384,148.175544,-121.29414,129.579096,-32.722596,-36.120024,-57.637068
3.3,56.981424,147.81792,-119.50602,135.122268,-31.88814,-36.775668,-56.862216
3.4,57.637068,147.5199,-118.373544,138.638904,-31.768932,-36.537252,-56.02776
3.5,58.590732,146.864256,-117.300672,140.844252,-31.411308,-36.596856,-55.252908
3.6,59.782812,145.910592,-115.870176,143.168808,-31.053684,-36.65646,-54.954888
3.7,60.557664,144.658908,-115.512552,145.374156,-30.636456,-36.596856,-54.120432
3.8,61.511328,144.24168,-114.380076,147.698712,-30.39804,-36.894876,-53.524392
3.9,61.868952,143.64564,-112.830372,150.142476,-29.921208,-37.431312,-53.226372
4,62.226576,142.691976,-112.293936,150.619308,-29.50398,-37.55052,-53.285976
4.1,62.88222,141.082668,-111.936312,151.274952,-29.444376,-38.086956,-53.703204
4.2,62.405388,140.188608,-110.505816,153.599508,-29.563584,-37.729332,-53.94162
4.3,61.928556,139.413756,-109.790568,155.626044,-29.027148,-37.84854,-53.6436
4.4,61.451724,138.221676,-108.956112,157.414164,-28.490712,-38.14656,-52.689936
4.5,61.034496,136.731576,-107.88324,159.500304,-27.954276,-37.908144,-52.45152
4.6,60.676872,135.420288,-107.466012,160.513572,-27.835068,-37.669728,-52.093896
4.7,60.378852,134.287812,-106.810368,161.288424,-27.894672,-38.14656,-52.034292
4.8,60.021228,133.870584,-105.737496,161.586444,-27.835068,-38.325372,-51.617064
4.9,59.067564,132.738108,-105.141456,160.573176,-27.656256,-38.265768,-50.246172
5,58.41192,131.069196,-104.247396,159.261888,-27.596652,-38.14656,-50.782608
5.1,57.994692,130.115532,-103.830168,157.414164,-27.596652,-37.610124,-52.332312
5.2,58.41192,128.804244,-103.770564,155.208816,-27.477444,-37.371708,-53.762808
5.3,59.127168,127.433352,-103.532148,154.612776,-27.298632,-37.490916,-54.656868
5.4,58.829148,126.420084,-102.995712,154.791588,-26.583384,-37.2525,-54.418452
5.5,57.994692,125.108796,-102.51888,153.77832,-26.404572,-37.2525,-53.583996
5.6,57.279444,123.499488,-101.684424,153.122676,-26.583384,-37.371708,-52.511124
5.7,56.564196,122.307408,-101.3268,154.851192,-26.642988,-37.788936,-50.126964
5.8,55.252908,121.29414,-100.671156,156.341292,-26.464176,-37.55052,-47.504388
5.9,54.060828,120.221268,-99.955908,155.030004,-26.046948,-37.431312,-45.418248
6,53.166768,119.088792,-99.657888,154.016736,-25.748928,-37.431312,-44.285772
6.1,52.213104,117.837108,-99.717492,153.361092,-25.92774,-37.073688,-44.464584
6.2,51.25944,116.585424,-99.419472,152.407428,-25.3317,-37.133292,-44.822208
6.3,50.186568,115.691364,-99.121452,152.169012,-25.510512,-37.192896,-45.537456
6.4,49.1733,114.201264,-98.585016,151.09614,-25.391304,-37.312104,-45.89508
6.5,48.100428,113.426412,-98.406204,149.427228,-25.212492,-37.312104,-45.239436
6.6,46.78914,112.115124,-98.108184,150.321288,-25.212492,-37.073688,-45.537456
6.7,45.716268,110.625024,-97.988976,153.301488,-24.854868,-36.95448,-45.418248
6.8,45.060624,109.432944,-97.512144,156.579708,-24.616452,-37.133292,-44.941416
6.9,43.749336,107.823636,-97.15452,158.785056,-24.73566,-36.596856,-45.89508
7,42.736068,106.869972,-96.677688,160.155948,-24.914472,-36.000816,-46.78914
7.1,42.080424,105.916308,-96.379668,161.52684,-24.795264,-36.06042,-45.537456
7.2,41.305572,104.90304,-96.141252,161.884464,-24.43764,-35.822004,-44.881812
7.3,40.649928,104.128188,-95.843232,162.540108,-24.318432,-35.225964,-46.133496
7.4,39.696264,103.11492,-95.604816,164.030208,-23.960808,-35.345172,-46.312308
7.5,38.921412,101.684424,-95.724024,165.758724,-23.424372,-35.16636,-46.610328
7.6,37.967748,100.13472,-95.426004,165.818328,-23.8416,-35.106756,-46.371912
7.7,36.775668,99.002244,-95.127984,164.626248,-23.603184,-35.404776,-47.08716
7.8,35.941212,98.3466,-95.008776,164.447436,-23.424372,-35.16636,-47.38518
7.9,35.523984,97.333332,-95.3664,163.732188,-23.722392,-35.285568,-46.967952
8,34.749132,96.200856,-95.545212,162.659316,-23.662788,-35.345172,-46.610328
8.1,33.557052,95.187588,-95.306796,161.467236,-22.94754,-35.047152,-46.669932
8.2,32.48418,94.293528,-95.06838,160.692384,-22.828332,-35.106756,-47.862012
8.3,32.126556,93.28026,-95.008776,160.215552,-23.24556,-34.987548,-48.160032
8.4,31.470912,92.326596,-94.889568,159.619512,-23.305164,-34.927944,-48.100428
8.5,30.159624,91.670952,-94.591548,158.725452,-22.589916,-35.047152,-48.219636
8.6,29.742396,90.657684,-94.47234,156.877728,-22.411104,-35.345172,-48.040824
8.7,29.086752,89.346396,-94.531944,155.924064,-22.530312,-35.047152,-47.742804
8.8,28.3119,88.571544,-94.889568,156.222084,-22.768728,-34.629924,-48.696468
8.9,27.477444,87.498672,-94.47234,154.67238,-23.007144,-34.689528,-47.563992
9,27.179424,86.246988,-94.055112,153.18228,-22.3515,-34.927944,-47.623596
9.1,26.702592,85.23372,-94.114716,153.003468,-21.934272,-34.689528,-48.160032
9.2,25.987344,84.697284,-93.995508,152.109408,-22.113084,-34.86834,-48.27924
9.3,25.450908,84.160848,-93.8763,151.453764,-22.291896,-34.927944,-48.100428
9.4,24.43764,82.55154,-93.459072,150.261684,-21.636252,-35.047152,-48.398448
9.5,23.781996,81.597876,-93.28026,149.546436,-21.45744,-34.57032,-48.994488
9.6,23.483976,80.644212,-93.101448,149.069604,-21.636252,-34.689528,-48.87528
9.7,23.24556,80.226984,-93.220656,147.937128,-21.397836,-34.927944,-48.756072
9.8,22.172688,79.213716,-93.399468,146.566236,-21.278628,-34.629924,-49.590528
9.9,21.517044,78.558072,-93.57828,145.43376,-21.338232,-34.57032,-49.1733
10,21.099816,78.021636,-93.816696,145.195344,-21.45744,-34.86834,-49.411716
10.1,20.8614,76.650744,-93.161052,144.24168,-21.099816,-34.57032,-49.828944
10.2,20.324964,75.875892,-93.459072,143.526432,-20.801796,-34.510716,-49.590528
10.3,19.3713,75.339456,-93.459072,142.989996,-20.801796,-34.689528,-49.530924
