Time,Score0,Score1,Score2,Score3
,-1.728516,-0.002503368,0.023662788,-0.012755256
,0.476832,-0.002264952,0.021934272,-0.012338028
,-0.774852,-0.000536436,0.021099816,-0.005543172
,-3.516636,-0.00387426,0.021517044,-0.003218616
,0.476832,-0.00417228,0.027000612,-0.007033272
,5.245152,-0.002860992,0.023781996,-0.004887528
,2.205348,-0.001549704,0.02056338,-0.00715248
,-2.68218,0.000238416,0.019728924,-0.007212084
,0.476832,-0.002145744,0.021040212,-0.007092876
,2.920596,-0.001370892,0.020622984,-0.012755256
,3.159012,-0.002026536,0.02264952,-0.011086344
,5.006736,-0.00268218,0.023603184,-0.0059604
,3.635844,-0.002741784,0.020622984,-0.002741784
,3.695448,-0.003337824,0.021278628,-0.00268218
,4.76832,-0.0014901,0.024378036,-0.001847724
,4.887528,-0.001430496,0.025689324,-0.006139212
,7.74852,-0.002026536,0.021815064,-0.008821392
,5.125944,-0.003337824,0.016271892,-0.003337824
,2.026536,0.001847724,0.018358032,-0.00178812
,3.039804,0.002145744,0.020622984,-0.000834456
,0,-0.001728516,0.019788528,-0.004112676
,0.536436,-0.00715248,0.01847724,-0.009775056
,2.622576,-0.002145744,0.021695856,-0.007331292
,0.59604,0.002622576,0.023424372,-0.006973668
,2.741784,0.003039804,0.024020412,-0.008284956
,2.026536,-0.001013268,0.025093284,-0.007212084
,-0.953664,-0.005245152,0.019788528,-0.00476832
,0,-0.003039804,0.020444172,-0.00387426
,2.205348,-0.000417228,0.020622984,-0.00625842
,2.264952,-0.003695448,0.018656052,-0.007212084
,0.655644,-0.002324556,0.021576648,-0.00923862
,1.668912,0.00029802,0.028669524,-0.007629312
,1.4901,-0.001072872,0.023901204,-0.004112676
,-0.357624,-0.001549704,0.021576648,-0.0014901
,-0.655644,-0.00238416,0.02205348,0.000417228
,1.728516,-0.00655644,0.025391304,0.002145744
,1.847724,-0.003755052,0.022470708,0.001549704
,2.145744,-0.001072872,0.017225556,-0.000953664
,6.198816,0.002443764,0.021636252,-0.005185548
,-1.072872,0.00178812,0.021934272,-0.005185548
,4.17228,-0.003457032,0.021815064,-0.002562972
,3.218616,0.000715248,0.023424372,-0.00417228
,-3.159012,0.001370892,0.020622984,-0.002920596
,-0.476832,-0.003218616,0.02026536,-0.001251684
,-1.728516,-0.00417228,0.020146152,-0.000774852
,-0.29802,-0.0044703,0.0208614,-0.005721984
,-0.59604,0.001370892,0.022768728,-0.007331292
,-4.053072,-0.000774852,0.023126352,-0.004291488
,-4.649112,-0.005841192,0.026881404,-0.004887528
,0.178812,-0.00238416,0.02622576,-0.005781588
,-0.119208,-0.001132476,0.023722392,-0.005245152
,-3.159012,0.004291488,0.02503368,-0.001370892
,-1.013268,0.002264952,0.020801796,0.002801388
,1.728516,-0.002026536,0.022709124,0.001668912
,0.536436,0.000178812,0.023722392,-0.003099408
,0.119208,0.000119208,0.016450704,-0.005125944
,-2.026536,-0.000953664,0.020146152,-0.00834456
,-4.053072,-0.0029802,0.023781996,-0.00864258
,-2.622576,-0.003933864,0.018298428,-0.003516636
,0,-0.000834456,0.015616248,0.002264952
,-0.417228,0.000655644,0.022768728,-0.00864258
,0.476832,-0.001311288,0.023901204,-0.01013268
,-3.993468,0.000953664,0.021397836,-0.007331292
,-4.76832,0.001668912,0.02205348,-0.00029802
,-0.655644,0.003099408,0.02205348,-0.001728516
,-3.337824,-0.001609308,0.018358032,-0.006794856
,-1.430496,-0.002264952,0.020980608,-0.009298224
,3.57624,0.000417228,0.025868136,-0.009477036
,1.132476,0.000476832,0.024795264,-0.007033272
,-2.68218,0.001668912,0.023960808,-0.004291488
,-2.38416,0.0029802,0.02205348,-0.005304756
,-2.264952,0.001430496,0.019013676,-0.004231884
,0,-0.001430496,0.018417636,-0.004589508
,-3.635844,0.003397428,0.020682588,-0.00417228
,-1.728516,0.0059604,0.024199224,-0.00059604
,3.397428,0.000476832,0.022887936,-0.00327822
,-1.013268,0.003099408,0.021815064,-0.003814656
,-0.417228,0.002205348,0.020444172,-0.004351092
,2.026536,0.001132476,0.021636252,-0.003814656
,1.966932,0.000774852,0.024378036,0.002324556
,0.417228,0.001847724,0.019490508,-0.002026536
,-0.953664,0.003218616,0.019013676,-0.004649112
,-2.860992,0.00268218,0.023662788,-0.004291488
,-1.907328,0.003218616,0.02264952,-0.00327822
,-0.178812,0.001072872,0.016331496,-0.003814656
,0,-0.003635844,0.021993876,-0.009477036
,4.76832,-0.00059604,0.0208614,-0.00506634
,5.543172,0.00357624,0.020086548,-0.00059604
,1.370892,0.00178812,0.019728924,-0.004887528
,-1.251684,-0.002741784,0.018000408,-0.00804654
,2.324556,-0.003039804,0.025152888,-0.009655848
,-0.834456,-0.004351092,0.025570116,-0.00953664
,-2.562972,0.000417228,0.022113084,-0.006437232
,-1.251684,0.001132476,0.024318432,-0.003337824
,-2.68218,-0.000059604,0.020980608,-0.002443764
,-2.801388,-0.002324556,0.018656052,-0.003099408
,-2.08614,0.000178812,0.022709124,-0.001013268
,-1.251684,0.002205348,0.021517044,-0.00268218
,-0.178812,-0.003695448,0.020026944,-0.005304756
,-1.609308,-0.002145744,0.023901204,-0.00357624
,-0.357624,0.001430496,0.021815064,0.00089406
,-0.417228,0.003218616,0.019728924,0.000417228
,0.655644,0.002503368,0.023066748,-0.004649112
,2.026536,0.0029802,0.0178812,-0.007688916
,-2.860992,0.00238416,0.017761992,-0.008702184
,-4.708716,0.001132476,0.023901204,-0.00774852
,1.251684,0.006020004,0.017225556,-0.00268218
,0.476832,0.003337824,0.019490508,-0.00327822
,-2.38416,0.00119208,0.0208614,-0.00804654
,2.026536,0.006377628,0.01460298,-0.007331292
,2.9802,0.000476832,0.017344764,-0.00715248
,-0.119208,-0.002741784,0.021099816,-0.007331292
,0.178812,0.006079608,0.020384568,-0.007986936
,-1.132476,0.004887528,0.021934272,-0.009059808
,-2.08614,0.005185548,0.025152888,-0.0014901
,0.834456,0.005423964,0.024914472,-0.002026536
,-0.89406,0.00625842,0.017940804,-0.004887528
,-0.655644,0.003397428,0.019311696,-0.005841192
,-0.29802,0.002622576,0.020622984,-0.007867728
,1.132476,0.001966932,0.019728924,-0.010788324
,3.27822,0.004947132,0.015377832,-0.012695652
,1.728516,0.00387426,0.018238824,-0.010907532
,1.4901,0.003516636,0.021040212,-0.005841192
,2.264952,0.001668912,0.019907736,-0.007033272
,2.205348,0.000357624,0.022411104,-0.007510104
,3.099408,0.002145744,0.020503776,-0.004291488
